Timestamp sec,Timestamp nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J03,J04,J05,J06,J10,J11,J12,J13,J14,J15,J16,J20,J21,J22,J23,J24,J25,J26,J30,J31,J32,J33,J34,J35,J36,J40,J41,J42,J43,J44,J45,J46,J50,J51,J52,J53,J54,J55,J56,J60,J61,J62,J63,J64,J65,J66,J sec,J nanosec,Control x,Control z,Control sec,Control nanosec
1654198826,640674644,0,0,0,0,0,-8.806380271911621,-4.906516075134277,-165.376708984375,0.9915208220481873,-0.1274259239435196,-0.025479121133685112,1.1388854304072993e-08,1654198826,628564455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654198826,840734946,0,0,0,0,0,-8.766281127929688,-5.6414313316345215,-167.67660522460938,0.991238534450531,-0.12954455614089966,-0.025772832334041595,-1.714686881371108e-08,1654198826,770422041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654198827,40708915,0,0,0,0,0,-9.697211265563965,-4.500431060791016,-170.1789093017578,0.9929994344711304,-0.11703892052173615,-0.015938173979520798,2.4267860609938907e-08,1654198826,953615636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654198827,240713166,0,0,0,0,0,-8.811567306518555,-4.614964962005615,-171.49258422851562,0.9930638670921326,-0.1156451553106308,-0.02122245915234089,-1.1957300039000529e-08,1654198827,231995643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198827,87528892,0,0,0,0
1654198827,440713829,0,0,0,0,0,-8.858555793762207,-4.733452320098877,-171.66673278808594,0.9929982423782349,-0.11625541001558304,-0.02095804363489151,-1.817160821815378e-08,1654198827,274216495,0,0,0,0,0,0,0,0,0,-11.544602394104004,-14.459202766418457,-166.44505310058594,0.9992570281028748,0.036937959492206573,0.010990532115101814,1.862573739686013e-08,1654198827,428125699,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198827,387390501,0,0,0,0
1654198827,640654696,0,0,0,0,0,-8.858555793762207,-4.733452320098877,-171.66673278808594,0.9929982423782349,-0.11625541001558304,-0.02095804363489151,-1.817160821815378e-08,1654198827,274216495,0,0,0,0,0,0,0,0,0,-11.533556938171387,-14.291967391967773,-166.75277709960938,0.9992177486419678,0.038060788065195084,0.010731847956776619,1.1170056879450385e-08,1654198827,631455798,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198827,387390501,0,0,0,0
1654198827,840656998,0,0,0,0,0,-8.858555793762207,-4.733452320098877,-171.66673278808594,0.9929982423782349,-0.11625541001558304,-0.02095804363489151,-1.817160821815378e-08,1654198827,274216495,-52.26314600469326,24.183539997039333,58.75229787320522,-0.6057830256470828,0.7949833894511736,0.026976405469339923,-0.014219475963755387,1654198827,706528946,-11.449894905090332,-13.761100769042969,-171.07513427734375,0.9990448355674744,0.04241717606782913,0.010488035157322884,-1.0239777026299635e-08,1654198827,832486952,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198827,687396326,0,0,0,0
1654198828,40654160,0,0,0,0,0,-8.858555793762207,-4.733452320098877,-171.66673278808594,0.9929982423782349,-0.11625541001558304,-0.02095804363489151,-1.817160821815378e-08,1654198827,274216495,-52.26314600469326,24.183539997039333,58.75229787320522,-0.6057830256470828,0.7949833894511736,0.026976405469339923,-0.014219475963755387,1654198827,706528946,-11.588519096374512,-13.740340232849121,-171.28541564941406,0.999039351940155,0.04238772764801979,0.011113258078694344,-3.728872322028565e-09,1654198828,29122825,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198827,987359822,0,0,0,0
1654198828,240665717,0,0,0,0,0,-8.858555793762207,-4.733452320098877,-171.66673278808594,0.9929982423782349,-0.11625541001558304,-0.02095804363489151,-1.817160821815378e-08,1654198827,274216495,-52.26314600469326,24.183539997039333,58.75229787320522,-0.6057830256470828,0.7949833894511736,0.026976405469339923,-0.014219475963755387,1654198827,706528946,-11.893567085266113,-13.985501289367676,-168.29061889648438,0.9991253018379211,0.03971928358078003,0.01308208703994751,-2.050703429290479e-08,1654198828,229987059,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198827,987359822,0,0,0,0
1654198828,440666062,0,0,0,0,0,-8.858555793762207,-4.733452320098877,-171.66673278808594,0.9929982423782349,-0.11625541001558304,-0.02095804363489151,-1.817160821815378e-08,1654198827,274216495,-52.26314600469326,24.183539997039333,58.75229787320522,-0.6057830256470828,0.7949833894511736,0.026976405469339923,-0.014219475963755387,1654198827,706528946,-12.223933219909668,-15.138646125793457,-166.28573608398438,0.9994142055511475,0.03083646297454834,0.014844447374343872,2.8873362367676236e-08,1654198828,410929760,0,0,0,0,0,0,0,0,0,0.9906,-0.1395,-0.5254,0.0044,0.0042,-0.0,0.0001,0.0588,1.7334,-0.1336,0.002,0.002,0.0002,-0.0002,-0.3769,0.1906,0.297,-0.0016,-0.0015,0.0004,-0.0004,0.0,-0.0003,0.0017,-0.0,-0.0,-0.0,-0.0,0.0004,-0.0005,0.0015,0.0,0.0,-0.0,0.0,0.0058,-0.0028,-0.0015,0.0,0.0,0.0,-0.0,-0.0059,0.0028,0.0015,-0.0,-0.0,0.0,0.0,1654198828,287371064,0,0,0,0
