Timestamp sec,Timestamp nanosec,Entry_point x,Entry_point y,Entry_point z,Aurora x,Aurora y,Aurora z,Aurora qw,Aurora qx,Aurora qy,Aurora qz,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,J00,J01,J02,J03,J04,J05,J06,J10,J11,J12,J13,J14,J15,J16,J20,J21,J22,J23,J24,J25,J26,J30,J31,J32,J33,J34,J35,J36,J40,J41,J42,J43,J44,J45,J46,J50,J51,J52,J53,J54,J55,J56,J60,J61,J62,J63,J64,J65,J66,Control_x,Control_z
1649099680,829090624,0,0,0,-53.786949157714844,-1.3131600618362427,-202.94517517089844,0.7020294070243835,-0.002116501098498702,0.7121447920799255,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099681,329083366,0,0,0,-53.753292083740234,-1.263055443763733,-202.9605255126953,0.7021521329879761,-0.001998007530346513,0.7120241522789001,0.0,14.878550226492251,16.683603069226216,54.42284714627146,0.7118682909775331,-0.7021219163324641,-0.01607668532196251,-0.003150019182085073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099681,829131794,0,0,0,-53.71662902832031,-1.267452597618103,-202.96072387695312,0.7022549510002136,-0.001980542903766036,0.711922824382782,0.0,14.878550226492251,16.683603069226216,54.42284714627146,0.7118682909775331,-0.7021219163324641,-0.01607668532196251,-0.003150019182085073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099682,329074860,0,0,0,-53.75297546386719,-1.3289748430252075,-202.98863220214844,0.7021360993385315,-0.0022013187408447266,0.7120393514633179,0.0,14.919490046023725,16.684490599103327,54.45086898145593,0.7118612568670168,-0.702128893517497,-0.01608377660192035,-0.0031574012629912995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099682,829035765,0,0,0,-53.77677917480469,-1.503087043762207,-202.87152099609375,0.70197594165802,-0.002562165493145585,0.7121961116790771,0.0,14.919490046023725,16.684490599103327,54.45086898145593,0.7118612568670168,-0.702128893517497,-0.01608377660192035,-0.0031574012629912995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099683,329036776,0,0,0,-53.776893615722656,-1.2003072500228882,-203.03985595703125,0.7021362781524658,-0.0018488765927031636,0.7120401859283447,5.960567506235748e-08,14.919490046023725,16.684490599103327,54.45086898145593,0.7118612568670168,-0.702128893517497,-0.01608377660192035,-0.0031574012629912995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099683,828999571,0,0,0,-53.762149810791016,-1.3373916149139404,-202.94625854492188,0.7021414041519165,-0.00213623046875,0.7120343446731567,0.0,14.919490046023725,16.684490599103327,54.45086898145593,0.7118612568670168,-0.702128893517497,-0.01608377660192035,-0.0031574012629912995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099684,329117944,0,0,0,-53.73541259765625,-1.4219990968704224,-202.91807556152344,0.7021481394767761,-0.002421259880065918,0.7120267748832703,-5.960467319710006e-08,14.91821307067454,16.6836013080558,54.503751293099164,0.7118093702281845,-0.7021803602493644,-0.016136084947258798,-0.0032118546817895832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099684,829039228,14.91821307067454,16.6836013080558,54.503751293099164,-53.74717712402344,-1.4600595235824585,-202.9021759033203,0.7021028995513916,-0.002481818199157715,0.7120712399482727,0.0,14.840712333179852,16.72451809572322,54.53497801908511,0.7117001339897866,-0.70228742809942,-0.016254056119422173,-0.0033172246860827537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649099685,329024146,14.91821307067454,16.6836013080558,54.503751293099164,-48.16335678100586,-1.6876511573791504,-201.82354736328125,0.7038714289665222,-0.00267773843370378,0.710322380065918,0.0,13.935589703364826,19.020610883418613,54.70742407094509,0.7122036493411903,-0.7017600369886535,-0.01726277736725328,-0.0012305279971432936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
